Sheet_Name,Row_ID,Field_Reference,Field_Name,Field_Description,Data_Type,Required,XML_Element,Validation_Rule,Source_Reference,Input_Value,Calculated_Value,Validation_Status,Notes
SEC3_3.3,3.3.5,GIR/Jurisdiction[n]/DTLRecapture,DTL Recapture,5-year recapture amount (EUR),Decimal,No,<DTLRecapture>,Must be >= 0 - see DTL tracking,DTL tracker,,,PENDING,Monitoring rule
SEC3_3.3,3.3.6,GIR/Jurisdiction[n]/CFCIn,CFC Tax Allocated In,Taxes pushed down from parent (EUR),Decimal,No,<CFCIn>,Usually positive,Calculation,,,PENDING,CFC allocation
SEC3_3.3,3.3.7,GIR/Jurisdiction[n]/CFCOut,CFC Tax Allocated Out,Taxes pushed to subsidiaries (EUR),Decimal,No,<CFCOut>,Usually negative,Calculation,,,PENDING,CFC allocation
SEC3_3.3,3.3.8,GIR/Jurisdiction[n]/UTPAdj,Uncertain Tax Position Adj,UTP reserve adjustments (EUR),Decimal,No,<UTPAdj>,Can be positive or negative,Tax provision,,,PENDING,Recognition changes
SEC3_3.3,3.3.9,GIR/Jurisdiction[n]/QRTCAdj,QRTC Adjustment,Qualified refundable tax credit (EUR),Decimal,No,<QRTCAdj>,Usually positive - treated as income not tax,Calculation,,,PENDING,Article 3.2.4
SEC3_3.3,3.3.10,GIR/Jurisdiction[n]/TaxOnExcluded,Tax on Excluded Income,Taxes on excluded income removed (EUR),Decimal,No,<TaxOnExcluded>,Usually negative,Calculation,,,PENDING,Matching principle
SEC3_3.3,3.3.11,GIR/Jurisdiction[n]/NonCoveredTax,Non-Covered Taxes Excluded,Taxes not meeting covered tax definition (EUR),Decimal,No,<NonCoveredTax>,Usually negative,Calculation,,,PENDING,Non-income taxes
SEC3_3.3,3.3.12,GIR/Jurisdiction[n]/CoveredTaxes,Total Adjusted Covered Taxes,Sum of tax adjustments (EUR),Decimal,Calculated,<CoveredTaxes>,Auto-calculated - ETR numerator,Calculator,,,PENDING,Key output
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.4 ETR Calculation,,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.4,3.4.1,GIR/Jurisdiction[n]/ETR,Jurisdictional ETR,Covered Taxes divided by GloBE Income,Decimal,Calculated,<ETR>,Auto-calculated - can exceed 100%,Calculator,,,PENDING,Percentage
SEC3_3.4,3.4.2,GIR/Jurisdiction[n]/ETRBelowMin,ETR Below Minimum,Whether ETR is less than 15%,Boolean,Calculated,<ETRBelowMin>,TRUE if ETR < 15%,Calculator,,,PENDING,Top-up trigger
SEC3_3.4,3.4.3,GIR/Jurisdiction[n]/TopUpPct,Top-Up Tax Percentage,15% minus ETR if positive,Decimal,Calculated,<TopUpPct>,MAX(0 and 15% - ETR),Calculator,,,PENDING,Shortfall rate
SEC3_3.4,3.4.4,GIR/Jurisdiction[n]/MinimumRate,Minimum Tax Rate,15% reference rate,Decimal,Reference,<MinRate>,Fixed at 15%,Reference data,,,PENDING,GloBE rate
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.5 Substance-Based Income Exclusion (SBIE),,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.5,3.5.1,GIR/Jurisdiction[n]/PayrollRate,Payroll Carve-Out Rate,SBIE payroll rate per transitional schedule,Decimal,Reference,<PayrollRate>,Per SBIE rate table for fiscal year,OECD rates,,,PENDING,Year dependent
SEC3_3.5,3.5.2,GIR/Jurisdiction[n]/TangibleRate,Tangible Asset Carve-Out Rate,SBIE asset rate per transitional schedule,Decimal,Reference,<TangibleRate>,Per SBIE rate table for fiscal year,OECD rates,,,PENDING,Year dependent
SEC3_3.5,3.5.3,GIR/Jurisdiction[n]/EligiblePayroll,Eligible Payroll Costs,Qualifying payroll for SBIE (EUR),Decimal,Yes,<EligiblePayroll>,Must be >= 0 - defined categories only,HR/Payroll,,,PENDING,Location verified
SEC3_3.5,3.5.4,GIR/Jurisdiction[n]/TangibleAssets,Eligible Tangible Assets,NBV of qualifying assets (EUR),Decimal,Yes,<TangibleAssets>,Must be >= 0 - PPE in jurisdiction,Fixed assets,,,PENDING,Year-end or average
SEC3_3.5,3.5.5,GIR/Jurisdiction[n]/SBIEPayroll,SBIE - Payroll Component,Payroll rate times eligible payroll (EUR),Decimal,Calculated,<SBIEPayroll>,Auto-calculated,Calculator,,,PENDING,Carve-out 1
SEC3_3.5,3.5.6,GIR/Jurisdiction[n]/SBIETangible,SBIE - Tangible Component,Asset rate times tangible assets (EUR),Decimal,Calculated,<SBIETangible>,Auto-calculated,Calculator,,,PENDING,Carve-out 2
SEC3_3.5,3.5.7,GIR/Jurisdiction[n]/TotalSBIE,Total SBIE,Sum of payroll and tangible carve-outs (EUR),Decimal,Calculated,<TotalSBIE>,Auto-calculated,Calculator,,,PENDING,Total exclusion
SEC3_3.5,3.5.8,GIR/Jurisdiction[n]/EmployeeCount,Eligible Employee Count,Number of employees for SBIE,Integer,No,<EmployeeCount>,Must be >= 0,HR system,,,PENDING,Supporting data
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.6 Top-Up Tax Computation,,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.6,3.6.1,GIR/Jurisdiction[n]/ExcessProfit,Excess Profit,GloBE Income minus SBIE (EUR),Decimal,Calculated,<ExcessProfit>,MAX(0 and GloBE Income - SBIE),Calculator,,,PENDING,Tax base
SEC3_3.6,3.6.2,GIR/Jurisdiction[n]/TopUpPreQDMTT,Top-Up Tax Before QDMTT,Top-Up % times Excess Profit (EUR),Decimal,Calculated,<TopUpPreQDMTT>,Auto-calculated,Calculator,,,PENDING,Gross top-up
SEC3_3.6,3.6.3,GIR/Jurisdiction[n]/AdditionalTopUp,Additional Top-Up Tax,Recapture and prior period amounts (EUR),Decimal,No,<AdditionalTopUp>,Must be >= 0,Calculation,,,PENDING,True-up
SEC3_3.6,3.6.4,GIR/Jurisdiction[n]/QDMTTOffset,QDMTT Offset,Domestic minimum tax credit (EUR),Decimal,No,<QDMTTOffset>,Must be <= Top-Up Tax,Local return,,,PENDING,Primary reduction
SEC3_3.6,3.6.5,GIR/Jurisdiction[n]/TopUpNet,Net Top-Up Tax,After QDMTT offset (EUR),Decimal,Calculated,<TopUpNet>,Auto-calculated - for allocation,Calculator,,,PENDING,Allocable amount
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.7 Top-Up Tax Allocation (IIR/UTPR),,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.7,3.7.1,GIR/Jurisdiction[n]/IIRApplicable,IIR Applicable,Whether IIR applies to this jurisdiction,Boolean,Calculated,<IIRApplicable>,TRUE if parent has qualified IIR,Analysis,,,PENDING,Priority rule
SEC3_3.7,3.7.2,GIR/Jurisdiction[n]/IIRParent,IIR Parent Entity,Parent entity applying IIR,Text,Conditional,<IIRParent>,Entity ID of charging parent,Ownership chain,,,PENDING,Allocation target
SEC3_3.7,3.7.3,GIR/Jurisdiction[n]/IIROwnership,IIR Ownership Percentage,Allocable share for IIR,Decimal,Calculated,<IIROwnership>,Per ownership chain calculation,Calculator,,,PENDING,Pro-rata basis
SEC3_3.7,3.7.4,GIR/Jurisdiction[n]/IIRAllocation,IIR Allocation,Top-up allocated via IIR (EUR),Decimal,Calculated,<IIRAllocation>,Per ownership chain,Calculator,,,PENDING,Primary allocation
SEC3_3.7,3.7.5,GIR/Jurisdiction[n]/UTPRResidual,UTPR Residual Amount,Top-up remaining after IIR (EUR),Decimal,Calculated,<UTPRResidual>,Top-Up Net minus IIR Allocation,Calculator,,,PENDING,Backstop amount
SEC3_3.7,3.7.6,GIR/Jurisdiction[n]/UTPREmployees,UTPR Employee Count,Employees for UTPR allocation key,Integer,Conditional,<UTPREmployees>,Must be >= 0 - in UTPR jurisdictions,HR system,,,PENDING,50% weighting
SEC3_3.7,3.7.7,GIR/Jurisdiction[n]/UTPRTangible,UTPR Tangible Assets,Assets for UTPR allocation key (EUR),Decimal,Conditional,<UTPRTangible>,Must be >= 0 - in UTPR jurisdictions,Fixed assets,,,PENDING,50% weighting
SEC3_3.7,3.7.8,GIR/Jurisdiction[n]/UTPRKey,UTPR Allocation Key,Combined allocation percentage,Decimal,Calculated,<UTPRKey>,50% employees plus 50% assets,Calculator,,,PENDING,Blended factor
SEC3_3.7,3.7.9,GIR/Jurisdiction[n]/UTPRAllocation,UTPR Allocation,Top-up allocated via UTPR (EUR),Decimal,Calculated,<UTPRAllocation>,UTPR Residual times UTPR Key,Calculator,,,PENDING,Backstop allocation
SEC3_3.7,3.7.10,GIR/Jurisdiction[n]/TotalTopUp,Total Top-Up Tax,Final jurisdictional top-up (EUR),Decimal,Calculated,<TotalTopUp>,Auto-calculated,Calculator,,,PENDING,Key output
,,,,,,,,,,,,,
SECTION_3_HEADER,,,3.8 DTL Tracking (5-Year Rule),,,,,,,,,
,,,,,,,,,,,,,
SEC3_3.8,3.8.1,GIR/Jurisdiction[n]/DTL/Item[n]/Description,DTL Item Description,Description of deferred tax liability item,Text,Conditional,<DTLDescription>,Non-empty string per item,Tax provision,,,PENDING,Item detail
SEC3_3.8,3.8.2,GIR/Jurisdiction[n]/DTL/Item[n]/OriginYear,DTL Origin Year,Year DTL item originated,Integer,Conditional,<DTLOriginYear>,Valid fiscal year,Tax provision,,,PENDING,For 5-year rule
SEC3_3.8,3.8.3,GIR/Jurisdiction[n]/DTL/Item[n]/OriginalAmount,DTL Original Amount,Original amount when recognised (EUR),Decimal,Conditional,<DTLOriginalAmt>,Must be >= 0,Tax provision,,,PENDING,Baseline
SEC3_3.8,3.8.4,GIR/Jurisdiction[n]/DTL/Item[n]/CurrentBalance,DTL Current Balance,Balance at period end (EUR),Decimal,Conditional,<DTLCurrentBal>,Must be >= 0,Tax provision,,,PENDING,Monitoring
SEC3_3.8,3.8.5,GIR/Jurisdiction[n]/DTL/Item[n]/YearsRemaining,Years Before Recapture,Years until 5-year recapture,Integer,Calculated,<DTLYearsLeft>,0-5 years,Calculator,,,PENDING,Countdown
SEC3_3.8,3.8.6,GIR/Jurisdiction[n]/DTL/Item[n]/RecaptureRequired,Recapture Required,Whether recapture triggered,Boolean,Calculated,<DTLRecaptureReq>,TRUE if YearsLeft = 0 and not reversed,Calculator,,,PENDING,Action flag
,,,,,,,,,,,,,
VALIDATION,,,VALIDATION DASHBOARD,,,,,,,,,
,,,,,,,,,,,,,
VALIDATION_HEADER,,,Section 1 Validation Checks,,,,,,,,,
,,,,,,,,,,,,,
VAL_SEC1,V1.1,SEC1_ALL_REQUIRED,Section 1 Complete,All required Section 1 fields populated,Boolean,Calculated,N/A,All Section 1 Required fields have values,Validation,,,PENDING,Gate check
VAL_SEC1,V1.2,SEC1_CE_MATCH,CE Count Matches,CE details match declared count,Boolean,Calculated,N/A,Actual CE rows = Declared CECount,Validation,,,PENDING,Reconciliation
VAL_SEC1,V1.3,SEC1_JURIS_VALID,Jurisdictions Validated,All jurisdiction codes are valid ISO codes,Boolean,Calculated,N/A,All codes in ISO 3166-1 list,Validation,,,PENDING,Data quality
VAL_SEC1,V1.4,SEC1_TIN_VALID,TINs Validated,All TINs properly formatted or NOTIN,Boolean,Calculated,N/A,Valid format per jurisdiction or NOTIN,Validation,,,PENDING,Format check
VAL_SEC1,V1.5,SEC1_OWNERSHIP,Ownership Totals Logical,Ownership percentages are valid,Boolean,Calculated,N/A,Direct <= 100% and UPE chain logical,Validation,,,PENDING,Chain check
VAL_SEC1,V1.6,SEC1_HIERARCHY,Entity Hierarchy Valid,All entities trace to UPE,Boolean,Calculated,N/A,No orphan entities or circular refs,Validation,,,PENDING,Structure check
VAL_SEC1,V1.7,SEC1_DATES,Fiscal Period Valid,Start date before end date,Boolean,Calculated,N/A,End > Start and period <= 18 months,Validation,,,PENDING,Date logic
,,,,,,,,,,,,,
VALIDATION_HEADER,,,Section 2 Validation Checks,,,,,,,,,
,,,,,,,,,,,,,
VAL_SEC2,V2.1,SEC2_SH_VALID,Safe Harbour Elections Valid,All SH elections properly documented,Boolean,Calculated,N/A,If elected then required data complete,Validation,,,PENDING,Documentation
VAL_SEC2,V2.2,SEC2_TSH_CALC,TSH Test Results Correct,Transitional SH calculations accurate,Boolean,Calculated,N/A,Recalculated result = Reported result,Validation,,,PENDING,Math check
VAL_SEC2,V2.3,SEC2_QDMTT_VALID,QDMTT SH Jurisdictions Valid,QDMTT SH only for qualified QDMTTs,Boolean,Calculated,N/A,Jurisdiction on IF qualified list,Validation,,,PENDING,Eligibility
VAL_SEC2,V2.4,SEC2_UTPR_VALID,UTPR SH Rate Valid,UPE jurisdiction CIT >= 20%,Boolean,Calculated,N/A,Rate >= 20% if elected,Validation,,,PENDING,Threshold check
VAL_SEC2,V2.5,SEC2_EXCL_DOC,Exclusion Documentation,Exclusions have supporting docs,Boolean,Calculated,N/A,If exclusion claimed then doc ref provided,Validation,,,PENDING,Audit trail
,,,,,,,,,,,,,
VALIDATION_HEADER,,,Section 3 Validation Checks,,,,,,,,,
,,,,,,,,,,,,,
VAL_SEC3,V3.1,SEC3_INCOME_CALC,GloBE Income Calculated,All jurisdictional totals calculated,Boolean,Calculated,N/A,All GloBE Income fields have values,Validation,,,PENDING,Completeness
VAL_SEC3,V3.2,SEC3_TAX_CALC,Covered Taxes Calculated,All covered tax totals calculated,Boolean,Calculated,N/A,All Covered Tax fields have values,Validation,,,PENDING,Completeness
VAL_SEC3,V3.3,SEC3_ETR_CHECK,ETR Calculation Verified,ETR = Covered Taxes / GloBE Income,Boolean,Calculated,N/A,Formula verified for all jurisdictions,Validation,,,PENDING,Math check
VAL_SEC3,V3.4,SEC3_SBIE_RATES,SBIE Rates Correct,SBIE uses correct transitional rates,Boolean,Calculated,N/A,Rates match SBIE table for fiscal year,Validation,,,PENDING,Rate lookup
VAL_SEC3,V3.5,SEC3_TOPUP_POS,Top-Up Tax Non-Negative,No negative top-up tax amounts,Boolean,Calculated,N/A,All Top-Up >= 0,Validation,,,PENDING,Sign check
VAL_SEC3,V3.6,SEC3_ALLOC_COMPLETE,IIR/UTPR Allocation Complete,All top-up tax allocated,Boolean,Calculated,N/A,IIR + UTPR = Total Top-Up,Validation,,,PENDING,Reconciliation
VAL_SEC3,V3.7,SEC3_DTL_TRACK,DTL Tracking Updated,5-year DTL items monitored,Boolean,Calculated,N/A,All tracked DTLs have current status,Validation,,,PENDING,Monitoring
VAL_SEC3,V3.8,SEC3_SBIE_LIMIT,SBIE Not Exceeding Income,SBIE <= GloBE Income check,Boolean,Calculated,N/A,If SBIE > Income then Excess Profit = 0,Validation,,,PENDING,Logic check
,,,,,,,,,,,,,
VALIDATION_HEADER,,,Cross-Section Validation,,,,,,,,,
,,,,,,,,,,,,,
VAL_CROSS,V4.1,CROSS_ENTITY_MATCH,Section 1-3 Entity Match,All Section 3 entities in Section 1,Boolean,Calculated,N/A,No orphan entities in Section 3,Validation,,,PENDING,Cross-check
VAL_CROSS,V4.2,CROSS_CURRENCY,Currency Consistency,All amounts in reporting currency,Boolean,Calculated,N/A,Single currency used throughout,Validation,,,PENDING,Consistency
VAL_CROSS,V4.3,CROSS_PERIOD,Fiscal Year Alignment,All data for same fiscal period,Boolean,Calculated,N/A,Consistent period across all sections,Validation,,,PENDING,Period check
VAL_CROSS,V4.4,CROSS_SH_EXCL,Safe Harbour Exclusions,SH jurisdictions excluded from Section 3,Boolean,Calculated,N/A,No detailed calcs for SH jurisdictions,Validation,,,PENDING,No duplication
VAL_CROSS,V4.5,CROSS_JURIS_COUNT,Jurisdiction Count Match,Declared count matches actual,Boolean,Calculated,N/A,JurisdictionCount = distinct Section 3 jurisdictions,Validation,,,PENDING,Reconciliation
,,,,,,,,,,,,,
VALIDATION_HEADER,,,XML Schema Compliance,,,,,,,,,
,,,,,,,,,,,,,
VAL_XML,V5.1,XML_SCHEMA,XML Schema Compliance,Data matches OECD XSD requirements,Boolean,Calculated,N/A,All elements conform to schema v2.0,Validation,,,PENDING,Technical check
VAL_XML,V5.2,XML_MANDATORY,Mandatory Elements Present,All required XML elements populated,Boolean,Calculated,N/A,No missing required elements,Validation,,,PENDING,Completeness
VAL_XML,V5.3,XML_DATATYPE,Data Type Compliance,All values match schema data types,Boolean,Calculated,N/A,Correct formats for all fields,Validation,,,PENDING,Format check
VAL_XML,V5.4,XML_ENUM_VALID,Enumeration Values Valid,All codes from valid lists,Boolean,Calculated,N/A,All enum values in schema enumeration,Validation,,,PENDING,Code check
VAL_XML,V5.5,XML_SPECIAL_CHARS,Special Characters Handled,No invalid XML characters,Boolean,Calculated,N/A,XML-safe encoding applied,Validation,,,PENDING,Encoding check
,,,,,,,,,,,,,
SUMMARY,,,CALCULATION SUMMARY,,,,,,,,,
,,,,,,,,,,,,,
SUMMARY_HEADER,,,Group-Level Totals,,,,,,,,,
,,,,,,,,,,,,,
SUM_01,S1,TOTAL_CEs,Total Constituent Entities,Count of all CEs in group,Integer,Calculated,N/A,Count from Section 1,Calculator,,0,PENDING,Entity count
SUM_02,S2,TOTAL_JURISDICTIONS,Total Jurisdictions,Count of jurisdictions with CEs,Integer,Calculated,N/A,Distinct jurisdiction count,Calculator,,0,PENDING,Geographic spread
SUM_03,S3,TOTAL_GLOBE_INCOME,Total GloBE Income,Group-wide GloBE income (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Income base
SUM_04,S4,TOTAL_COVERED_TAXES,Total Covered Taxes,Group-wide covered taxes (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Tax base
SUM_05,S5,WEIGHTED_ETR,Weighted Average ETR,Group ETR (reference only),Decimal,Calculated,N/A,Total Taxes / Total Income,Calculator,,0.00%,PENDING,Indicative only
SUM_06,S6,TOTAL_SBIE,Total SBIE,Group-wide substance exclusion (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Carve-out total
SUM_07,S7,TOTAL_EXCESS_PROFIT,Total Excess Profit,Group-wide excess profit (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Top-up base
SUM_08,S8,TOTAL_TOPUP_PRE_QDMTT,Total Top-Up Tax Pre-QDMTT,Before QDMTT offset (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Gross liability
SUM_09,S9,TOTAL_QDMTT_OFFSET,Total QDMTT Offset,QDMTT credits applied (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Primary offset
SUM_10,S10,TOTAL_NET_TOPUP,Total Net Top-Up Tax,Final group top-up liability (EUR),Decimal,Calculated,N/A,Sum all jurisdictions,Calculator,,0,PENDING,Key output
SUM_11,S11,TOTAL_IIR,Total IIR Allocation,Top-up via Income Inclusion Rule (EUR),Decimal,Calculated,N/A,Sum IIR allocations,Calculator,,0,PENDING,Primary mechanism
SUM_12,S12,TOTAL_UTPR,Total UTPR Allocation,Top-up via Undertaxed Profits Rule (EUR),Decimal,Calculated,N/A,Sum UTPR allocations,Calculator,,0,PENDING,Backstop amount
SUM_13,S13,JURISDICTIONS_BELOW_MIN,Jurisdictions Below 15%,Count of low-tax jurisdictions,Integer,Calculated,N/A,Count where ETR < 15%,Calculator,,0,PENDING,Risk indicator
SUM_14,S14,SAFE_HARBOUR_COUNT,Safe Harbour Jurisdictions,Count using safe harbours,Integer,Calculated,N/A,TSH + QDMTT SH + UTPR SH count,Calculator,,0,PENDING,Simplification
SUM_15,S15,VALIDATION_STATUS,Overall Validation Status,GIR validation status,Enum,Calculated,N/A,PASS if all validations pass else FAIL,Calculator,,INCOMPLETE,PENDING,Gate status
,,,,,,,,,,,,,
SBIE_RATES,,,SBIE TRANSITIONAL RATE TABLE (Article 5.3),,,,,,,,,
,,,,,,,,,,,,,
SBIE_RATES_HEADER,,,Year,Description,Payroll Rate,Tangible Rate,Authority,,,,,
,,,,,,,,,,,,,
RATE_2024,FY2024,2024,Fiscal years beginning in 2024,9.80%,7.80%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2025,FY2025,2025,Fiscal years beginning in 2025,9.60%,7.60%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2026,FY2026,2026,Fiscal years beginning in 2026,9.40%,7.40%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2027,FY2027,2027,Fiscal years beginning in 2027,9.20%,7.20%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2028,FY2028,2028,Fiscal years beginning in 2028,9.00%,7.00%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2029,FY2029,2029,Fiscal years beginning in 2029,8.20%,6.60%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2030,FY2030,2030,Fiscal years beginning in 2030,7.40%,6.20%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2031,FY2031,2031,Fiscal years beginning in 2031,6.60%,5.80%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2032,FY2032,2032,Fiscal years beginning in 2032,5.80%,5.40%,OECD Model Rules Article 5.3.3,,,,,,,
RATE_2033,FY2033,2033+,Fiscal years beginning 2033 and later,5.00%,5.00%,OECD Model Rules Article 5.3.3 - Final rates,,,,,,,
,,,,,,,,,,,,,
TSH_RATES,,,TRANSITIONAL SAFE HARBOUR ETR THRESHOLDS,,,,,,,,,
,,,,,,,,,,,,,
TSH_RATES_HEADER,,,Year,ETR Threshold,De Minimis Revenue,De Minimis PBT,Authority,,,,,
,,,,,,,,,,,,,
TSH_2024,TSH2024,2024,15.00%,EUR 10M,EUR 1M,OECD Administrative Guidance,,,,,,,
TSH_2025,TSH2025,2025,15.00%,EUR 10M,EUR 1M,OECD Administrative Guidance,,,,,,,
TSH_2026,TSH2026,2026,16.00%,EUR 10M,EUR 1M,OECD Administrative Guidance - final year,,,,,,,
,,,,,,,,,,,,,
FORMULA_REFERENCE,,,KEY CALCULATION FORMULAS,,,,,,,,,
,,,,,,,,,,,,,
FORMULA_01,F1,ETR,Jurisdictional ETR,Adjusted Covered Taxes / GloBE Income,Percentage,Calculated,,Result rounded to 4 decimal places,,,,,
FORMULA_02,F2,TOPUP_PCT,Top-Up Tax Percentage,MAX(0 and 15% - ETR),Percentage,Calculated,,Cannot be negative,,,,,
FORMULA_03,F3,SBIE,Total SBIE,(Payroll x Payroll Rate) + (Tangible x Tangible Rate),Currency,Calculated,,Use rates per fiscal year,,,,,
FORMULA_04,F4,EXCESS_PROFIT,Excess Profit,MAX(0 and GloBE Income - SBIE),Currency,Calculated,,Floor at zero,,,,,
FORMULA_05,F5,TOPUP_TAX,Top-Up Tax,(Top-Up % x Excess Profit) + Additional - QDMTT,Currency,Calculated,,Final allocable amount,,,,,
FORMULA_06,F6,IIR_ALLOC,IIR Allocation,Top-Up Tax x Parent Ownership %,Currency,Calculated,,Per ownership chain,,,,,
FORMULA_07,F7,UTPR_KEY,UTPR Allocation Key,(50% x Employee %) + (50% x Asset %),Percentage,Calculated,,Blended factor,,,,,
FORMULA_08,F8,UTPR_ALLOC,UTPR Allocation,UTPR Residual x UTPR Key,Currency,Calculated,,After IIR,,,,,
,,,,,,,,,,,,,
SOURCES,,,REFERENCE SOURCES AND AUTHORITY,,,,,,,,,
,,,,,,,,,,,,,
SOURCE_01,R1,OECD Model Rules,Tax Challenges Arising from Digitalisation - Model Rules,December 2021 with subsequent amendments,,,,,,,,
SOURCE_02,R2,OECD Commentary,Commentary to the Model GloBE Rules,March 2022,,,,,,,,
SOURCE_03,R3,OECD Admin Guidance,Administrative Guidance on the GloBE Rules,February 2023 July 2023 December 2023 June 2024,,,,,,,,
SOURCE_04,R4,OECD GIR Template,GloBE Information Return Template,January 2025 version,,,,,,,,
SOURCE_05,R5,OECD XML Schema,GIR XML Schema Documentation,Version 2.0 January 2025,,,,,,,,
SOURCE_06,R6,OECD User Guide,Draft User Guide for GIR XML Schema,Public consultation 2024,,,,,,,,
