Data_Point_ID,GIR_Section,Sub_Section,Data_Element_Name,Description,Data_Type,Required,XML_Element_Path,Source_System,Data_Owner,Priority,Validation_Rule,Notes,Collection_Status
S3-035,Section 3,3.3 Covered Taxes,QualifiedUTPR,Qualified UTPR tax paid,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/UTPR,Tax Provision,Local Tax,Critical,>= 0,Backstop tax,Not Started
S3-036,Section 3,3.3 Covered Taxes,WithholdingTaxesPaid,Withholding taxes included,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/WHT,Tax Provision,Local Tax,High,>= 0,Source taxes,Not Started
S3-037,Section 3,3.3 Covered Taxes,TaxesOnExcludedIncome,Taxes on excluded income,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/ExclIncome,GIR Calculation,Group Tax,High,Any value,To be removed,Not Started
S3-038,Section 3,3.3 Covered Taxes,TaxesOnUncertainPositions,Uncertain tax position taxes,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/UTP,Tax Provision,Local Tax,High,Any value,If recognized,Not Started
S3-039,Section 3,3.3 Covered Taxes,TaxCreditsNotQRTC,Non-QRTC tax credits,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/NonQRTC,Tax Provision,Local Tax,High,>= 0,Reduce covered taxes,Not Started
S3-040,Section 3,3.3 Covered Taxes,NonCoveredTaxesExcluded,Taxes not meeting covered tax criteria,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/NonCovered,GIR Calculation,Group Tax,High,>= 0,E.g. non-income taxes,Not Started
S3-041,Section 3,3.3 Covered Taxes,AdjustedCoveredTaxes,Total Adjusted Covered Taxes,Decimal,Yes,GIR/GloBEComputation/CoveredTaxes/Adjusted,GIR Calculation,Group Tax,Critical,Any value,For ETR numerator,Not Started
S3-042,Section 3,3.4 Deferred Tax,DTLOpeningBalance,Opening DTL balance,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTLOpening,Tax Provision,Local Tax,High,Any value,Prior year end,Not Started
S3-043,Section 3,3.4 Deferred Tax,DTAOpeningBalance,Opening DTA balance,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTAOpening,Tax Provision,Local Tax,High,Any value,Prior year end,Not Started
S3-044,Section 3,3.4 Deferred Tax,DTLMovementInYear,DTL movements in year,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTLMovement,Tax Provision,Local Tax,High,Any value,Increase/decrease,Not Started
S3-045,Section 3,3.4 Deferred Tax,DTAMovementInYear,DTA movements in year,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTAMovement,Tax Provision,Local Tax,High,Any value,Increase/decrease,Not Started
S3-046,Section 3,3.4 Deferred Tax,DTLClosingBalance,Closing DTL balance,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTLClosing,Tax Provision,Local Tax,High,Any value,Current year end,Not Started
S3-047,Section 3,3.4 Deferred Tax,DTAClosingBalance,Closing DTA balance,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTAClosing,Tax Provision,Local Tax,High,Any value,Current year end,Not Started
S3-048,Section 3,3.4 Deferred Tax,RecapturedDTL,DTL recapture amount,Decimal,Yes,GIR/GloBEComputation/DeferredTax/Recapture,GIR Calculation,Group Tax,Critical,>= 0,5-year tracking,Not Started
S3-049,Section 3,3.4 Deferred Tax,DTLRecaptureYear,Year of original DTL recognition,Integer,Conditional,GIR/GloBEComputation/DeferredTax/RecaptureYear,GIR Calculation,Group Tax,High,Valid year,If recapture,Not Started
S3-050,Section 3,3.4 Deferred Tax,DTLRecaptureReason,Reason for DTL recapture,Enumeration,Conditional,GIR/GloBEComputation/DeferredTax/RecaptureReason,GIR Calculation,Group Tax,High,Disposal/Write-off/Other,Documentation,Not Started
S3-051,Section 3,3.4 Deferred Tax,DTARateAdjustment,DTA rate adjustment to 15%,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTARateAdj,GIR Calculation,Group Tax,High,Any value,Cap at 15%,Not Started
S3-052,Section 3,3.4 Deferred Tax,DTLRateAdjustment,DTL rate adjustment to 15%,Decimal,Yes,GIR/GloBEComputation/DeferredTax/DTLRateAdj,GIR Calculation,Group Tax,High,Any value,Cap at 15%,Not Started
S3-053,Section 3,3.4 Deferred Tax,ValuationAllowanceAdj,Valuation allowance adjustment,Decimal,Yes,GIR/GloBEComputation/DeferredTax/ValuationAdj,GIR Calculation,Group Tax,Medium,Any value,If applicable,Not Started
S3-054,Section 3,3.4 Deferred Tax,TotalDTAAdjustment,Total DTA for Covered Taxes,Decimal,Yes,GIR/GloBEComputation/DeferredTax/TotalDTA,GIR Calculation,Group Tax,Critical,Any value,Adjusted amount,Not Started
S3-055,Section 3,3.4 Deferred Tax,TotalDTLAdjustment,Total DTL for Covered Taxes,Decimal,Yes,GIR/GloBEComputation/DeferredTax/TotalDTL,GIR Calculation,Group Tax,Critical,Any value,Adjusted amount,Not Started
S3-056,Section 3,3.5 DTL Tracking,DTLItemDescription,Description of DTL item,String,Yes,GIR/GloBEComputation/DTLTracking/Description,Tax Provision,Local Tax,High,Non-empty string,Per item row,Not Started
S3-057,Section 3,3.5 DTL Tracking,DTLItemOriginYear,Year DTL item originated,Integer,Yes,GIR/GloBEComputation/DTLTracking/OriginYear,Tax Provision,Local Tax,High,Valid fiscal year,For 5-year rule,Not Started
S3-058,Section 3,3.5 DTL Tracking,DTLItemOriginalAmount,Original DTL amount,Decimal,Yes,GIR/GloBEComputation/DTLTracking/OriginalAmt,Tax Provision,Local Tax,High,>= 0,When recognized,Not Started
S3-059,Section 3,3.5 DTL Tracking,DTLItemCurrentBalance,Current DTL balance,Decimal,Yes,GIR/GloBEComputation/DTLTracking/CurrentBal,Tax Provision,Local Tax,High,>= 0,End of period,Not Started
S3-060,Section 3,3.5 DTL Tracking,DTLItemReversedAmount,Amount reversed in year,Decimal,Yes,GIR/GloBEComputation/DTLTracking/Reversed,GIR Calculation,Group Tax,High,>= 0,Monitoring,Not Started
S3-061,Section 3,3.5 DTL Tracking,DTLItemYearsRemaining,Years remaining before recapture,Integer,Yes,GIR/GloBEComputation/DTLTracking/YearsLeft,GIR Calculation,Group Tax,High,0-5,5-year rule,Not Started
S3-062,Section 3,3.5 DTL Tracking,DTLItemRecaptureRequired,Recapture required this year,Boolean,Yes,GIR/GloBEComputation/DTLTracking/RecaptureReq,GIR Calculation,Group Tax,Critical,True/False,If YearsLeft=0,Not Started
S3-063,Section 3,3.5 DTL Tracking,DTLItemRecaptureAmount,Amount to recapture,Decimal,Conditional,GIR/GloBEComputation/DTLTracking/RecaptureAmt,GIR Calculation,Group Tax,Critical,>= 0,If required,Not Started
S3-064,Section 3,3.5 DTL Tracking,DTLItemCategory,Category of DTL item,Enumeration,Yes,GIR/GloBEComputation/DTLTracking/Category,Tax Provision,Local Tax,Medium,Depreciation/Amort/Other,Classification,Not Started
S3-065,Section 3,3.5 DTL Tracking,DTLItemRelatedAsset,Related asset if applicable,String,No,GIR/GloBEComputation/DTLTracking/Asset,Tax Provision,Local Tax,Low,Asset identifier,Cross-reference,Not Started
S3-066,Section 3,3.6 ETR Calculation,JurisdictionAdjustedCoveredTaxes,Total adjusted covered taxes,Decimal,Yes,GIR/GloBEComputation/ETR/AdjCoveredTaxes,GIR Calculation,Group Tax,Critical,Any value,Numerator,Not Started
S3-067,Section 3,3.6 ETR Calculation,JurisdictionGloBEIncome,Total GloBE income for jurisdiction,Decimal,Yes,GIR/GloBEComputation/ETR/GloBEIncome,GIR Calculation,Group Tax,Critical,Any value,Denominator,Not Started
S3-068,Section 3,3.6 ETR Calculation,JurisdictionETR,Calculated ETR percentage,Decimal,Yes,GIR/GloBEComputation/ETR/Rate,GIR Calculation,Group Tax,Critical,Percentage,Tax/Income,Not Started
S3-069,Section 3,3.6 ETR Calculation,MinimumTaxRate,Minimum tax rate (15%),Decimal,Yes,GIR/GloBEComputation/ETR/MinRate,Reference Data,Group Tax,Critical,15,Fixed rate,Not Started
S3-070,Section 3,3.6 ETR Calculation,TopUpTaxPercentage,Top-up tax percentage,Decimal,Yes,GIR/GloBEComputation/ETR/TopUpPct,GIR Calculation,Group Tax,Critical,>= 0,15% - ETR,Not Started
S3-071,Section 3,3.6 ETR Calculation,ETRBelowMinimum,ETR below 15% indicator,Boolean,Yes,GIR/GloBEComputation/ETR/BelowMin,GIR Calculation,Group Tax,Critical,True/False,Triggers top-up,Not Started
S3-072,Section 3,3.6 ETR Calculation,GloBELossJurisdiction,Jurisdiction in GloBE loss position,Boolean,Yes,GIR/GloBEComputation/ETR/LossPosition,GIR Calculation,Group Tax,High,True/False,No ETR calc,Not Started
S3-073,Section 3,3.6 ETR Calculation,ExcessNegativeTax,Excess negative tax amount,Decimal,Yes,GIR/GloBEComputation/ETR/ExcessNegTax,GIR Calculation,Group Tax,High,>= 0,Carryforward,Not Started
S3-074,Section 3,3.6 ETR Calculation,AdditionalCurrentTopUpTax,Additional current top-up tax,Decimal,Yes,GIR/GloBEComputation/ETR/AddlTopUp,GIR Calculation,Group Tax,High,>= 0,Prior year adj,Not Started
S3-075,Section 3,3.6 ETR Calculation,TotalTopUpTaxBeforeSBIE,Top-up tax before SBIE reduction,Decimal,Yes,GIR/GloBEComputation/ETR/TopUpPreSBIE,GIR Calculation,Group Tax,Critical,>= 0,Gross amount,Not Started
S3-076,Section 3,3.7 SBIE,EligiblePayrollCosts,Total eligible payroll costs,Decimal,Yes,GIR/GloBEComputation/SBIE/Payroll,Financial System,Local Finance,Critical,>= 0,Defined categories,Not Started
S3-077,Section 3,3.7 SBIE,PayrollCarveOutRate,Payroll carve-out rate,Decimal,Yes,GIR/GloBEComputation/SBIE/PayrollRate,Reference Data,Group Tax,Critical,Percentage,Transitional 9.8% for 2024,Not Started
S3-078,Section 3,3.7 SBIE,PayrollCarveOutAmount,Payroll carve-out amount,Decimal,Yes,GIR/GloBEComputation/SBIE/PayrollCarveOut,GIR Calculation,Group Tax,Critical,>= 0,Payroll x Rate,Not Started
S3-079,Section 3,3.7 SBIE,TangibleAssetValue,Carrying value of tangible assets,Decimal,Yes,GIR/GloBEComputation/SBIE/TangibleAssets,Financial System,Local Finance,Critical,>= 0,Year-end or average,Not Started
S3-080,Section 3,3.7 SBIE,TangibleAssetCarveOutRate,Tangible asset carve-out rate,Decimal,Yes,GIR/GloBEComputation/SBIE/TangibleRate,Reference Data,Group Tax,Critical,Percentage,Transitional 7.8% for 2024,Not Started
S3-081,Section 3,3.7 SBIE,TangibleAssetCarveOutAmount,Tangible asset carve-out amount,Decimal,Yes,GIR/GloBEComputation/SBIE/TangibleCarveOut,GIR Calculation,Group Tax,Critical,>= 0,Assets x Rate,Not Started
S3-082,Section 3,3.7 SBIE,TotalSBIEAmount,Total SBIE amount,Decimal,Yes,GIR/GloBEComputation/SBIE/Total,GIR Calculation,Group Tax,Critical,>= 0,Payroll + Tangible,Not Started
S3-083,Section 3,3.7 SBIE,EligibleEmployeesCount,Number of eligible employees,Integer,Yes,GIR/GloBEComputation/SBIE/EmployeeCount,HR System,Local HR,Medium,Positive integer,For payroll,Not Started
S3-084,Section 3,3.7 SBIE,EmployeeLocationVerified,Employee location verified,Boolean,Yes,GIR/GloBEComputation/SBIE/LocationVerified,HR System,Local HR,High,True/False,In jurisdiction,Not Started
S3-085,Section 3,3.7 SBIE,TangibleAssetTypes,Categories of tangible assets,String,Yes,GIR/GloBEComputation/SBIE/AssetTypes,Fixed Asset System,Local Finance,Medium,Asset categories,PPE breakdown,Not Started
S3-086,Section 3,3.7 SBIE,SBIEExceededGloBEIncome,SBIE exceeds GloBE income indicator,Boolean,Yes,GIR/GloBEComputation/SBIE/ExceedsIncome,GIR Calculation,Group Tax,High,True/False,No top-up if True,Not Started
S3-087,Section 3,3.8 Top-Up Tax,ExcessProfitAmount,Excess profit (GloBE Income - SBIE),Decimal,Yes,GIR/GloBEComputation/TopUp/ExcessProfit,GIR Calculation,Group Tax,Critical,Any value,May be negative,Not Started
S3-088,Section 3,3.8 Top-Up Tax,TopUpTaxAmount,Calculated top-up tax amount,Decimal,Yes,GIR/GloBEComputation/TopUp/Amount,GIR Calculation,Group Tax,Critical,>= 0,Excess x TopUp%,Not Started
S3-089,Section 3,3.8 Top-Up Tax,QDMTTCreditAmount,QDMTT credit applied,Decimal,Yes,GIR/GloBEComputation/TopUp/QDMTTCredit,GIR Calculation,Group Tax,Critical,>= 0,Reduces IIR/UTPR,Not Started
S3-090,Section 3,3.8 Top-Up Tax,NetTopUpTaxAfterQDMTT,Net top-up after QDMTT,Decimal,Yes,GIR/GloBEComputation/TopUp/NetAfterQDMTT,GIR Calculation,Group Tax,Critical,>= 0,For allocation,Not Started
S3-091,Section 3,3.8 Top-Up Tax,TopUpTaxAllocationMethod,Allocation method (IIR/UTPR),Enumeration,Yes,GIR/GloBEComputation/TopUp/AllocMethod,GIR Configuration,Group Tax,Critical,IIR or UTPR,Priority order,Not Started
S3-092,Section 3,3.8 Top-Up Tax,AdditionalTopUpTaxAdjustment,Additional top-up adjustment,Decimal,Yes,GIR/GloBEComputation/TopUp/AddlAdjust,GIR Calculation,Group Tax,High,Any value,Prior year true-up,Not Started
S3-093,Section 3,3.8 Top-Up Tax,FinalTopUpTaxLiability,Final top-up tax liability,Decimal,Yes,GIR/GloBEComputation/TopUp/FinalLiability,GIR Calculation,Group Tax,Critical,>= 0,Amount to allocate,Not Started
S3-094,Section 3,3.9 IIR Allocation,IIRApplicable,IIR applies to jurisdiction,Boolean,Yes,GIR/GloBEComputation/IIR/Applicable,GIR Analysis,Group Tax,Critical,True/False,Parent has QIIR,Not Started
S3-095,Section 3,3.9 IIR Allocation,IIRParentEntity,Parent entity applying IIR,String,Yes,GIR/GloBEComputation/IIR/ParentEntity,Legal Entity Master,Group Tax,Critical,Entity name,Charging entity,Not Started
S3-096,Section 3,3.9 IIR Allocation,IIROwnershipPercentage,Ownership % for IIR allocation,Decimal,Yes,GIR/GloBEComputation/IIR/OwnershipPct,Legal Entity Master,Group Tax,Critical,0-100 percentage,Allocable share,Not Started
S3-097,Section 3,3.9 IIR Allocation,IIRAllocableTopUpTax,Top-up tax allocable via IIR,Decimal,Yes,GIR/GloBEComputation/IIR/AllocableAmount,GIR Calculation,Group Tax,Critical,>= 0,After QDMTT,Not Started
S3-098,Section 3,3.9 IIR Allocation,IIRAllocatedAmount,IIR amount allocated,Decimal,Yes,GIR/GloBEComputation/IIR/AllocatedAmount,GIR Calculation,Group Tax,Critical,>= 0,Per ownership,Not Started
S3-099,Section 3,3.9 IIR Allocation,IIROffsetAgainstUTPR,IIR offsets UTPR,Boolean,Yes,GIR/GloBEComputation/IIR/OffsetsUTPR,GIR Calculation,Group Tax,High,True/False,Priority rule,Not Started
S3-100,Section 3,3.9 IIR Allocation,IIRPayingJurisdiction,Jurisdiction paying IIR,Country Code,Yes,GIR/GloBEComputation/IIR/PayingJuris,GIR Calculation,Group Tax,Critical,ISO 3166-1 alpha-2,Where charged,Not Started
S3-101,Section 3,3.10 UTPR Allocation,UTPRApplicable,UTPR applies to jurisdiction,Boolean,Yes,GIR/GloBEComputation/UTPR/Applicable,GIR Analysis,Group Tax,Critical,True/False,Backstop mechanism,Not Started
S3-102,Section 3,3.10 UTPR Allocation,UTPRResidualTopUp,Residual top-up for UTPR,Decimal,Yes,GIR/GloBEComputation/UTPR/ResidualAmount,GIR Calculation,Group Tax,Critical,>= 0,After IIR,Not Started
S3-103,Section 3,3.10 UTPR Allocation,UTPREmployeeCount,Employee count for UTPR allocation,Integer,Yes,GIR/GloBEComputation/UTPR/EmployeeCount,HR System,Group Tax,High,Positive integer,Allocation factor,Not Started
S3-104,Section 3,3.10 UTPR Allocation,UTPRTangibleAssets,Tangible assets for UTPR allocation,Decimal,Yes,GIR/GloBEComputation/UTPR/TangibleAssets,Financial System,Group Tax,High,>= 0,Allocation factor,Not Started
S3-105,Section 3,3.10 UTPR Allocation,UTPREmployeePercentage,Employee percentage of total,Decimal,Yes,GIR/GloBEComputation/UTPR/EmployeePct,GIR Calculation,Group Tax,High,0-100 percentage,Weighted 50%,Not Started
S3-106,Section 3,3.10 UTPR Allocation,UTPRAssetPercentage,Asset percentage of total,Decimal,Yes,GIR/GloBEComputation/UTPR/AssetPct,GIR Calculation,Group Tax,High,0-100 percentage,Weighted 50%,Not Started
S3-107,Section 3,3.10 UTPR Allocation,UTPRAllocationPercentage,Combined UTPR allocation %,Decimal,Yes,GIR/GloBEComputation/UTPR/AllocationPct,GIR Calculation,Group Tax,Critical,0-100 percentage,50/50 blend,Not Started
S3-108,Section 3,3.10 UTPR Allocation,UTPRAllocatedAmount,UTPR amount allocated,Decimal,Yes,GIR/GloBEComputation/UTPR/AllocatedAmount,GIR Calculation,Group Tax,Critical,>= 0,Per allocation %,Not Started
S3-109,Section 3,3.10 UTPR Allocation,UTPRPayingJurisdiction,Jurisdiction paying UTPR,Country Code,Yes,GIR/GloBEComputation/UTPR/PayingJuris,GIR Calculation,Group Tax,Critical,ISO 3166-1 alpha-2,Where charged,Not Started
S3-110,Section 3,3.10 UTPR Allocation,UTPRPayingEntity,Entity paying UTPR,String,Yes,GIR/GloBEComputation/UTPR/PayingEntity,GIR Calculation,Group Tax,Critical,Entity name,Charged CE,Not Started
S3-111,Section 3,3.11 Elections,Art321bEquityMethodElection,Article 3.2.1(b) equity method election,Boolean,No,GIR/Elections/Art321b,GIR Configuration,Group Tax,Medium,True/False,5-year binding,Not Started
S3-112,Section 3,3.11 Elections,Art322StockCompElection,Article 3.2.2 stock comp election,Boolean,No,GIR/Elections/Art322,GIR Configuration,Group Tax,Medium,True/False,Deduction method,Not Started
S3-113,Section 3,3.11 Elections,Art323AssetGainLossElection,Article 3.2.3 asset gain/loss election,Boolean,No,GIR/Elections/Art323,GIR Configuration,Group Tax,Medium,True/False,Realization basis,Not Started
S3-114,Section 3,3.11 Elections,QRTCElection,QRTC election for tax credits,Boolean,No,GIR/Elections/QRTC,GIR Configuration,Group Tax,High,True/False,Include as income,Not Started
S3-115,Section 3,3.11 Elections,NetTaxEquityElection,Net tax equity election,Boolean,No,GIR/Elections/NetTaxEquity,GIR Configuration,Group Tax,Medium,True/False,For partnerships,Not Started
S3-116,Section 3,3.11 Elections,ShortTermPortfolioElection,Short-term portfolio shareholding,Boolean,No,GIR/Elections/ShortTermPortfolio,GIR Configuration,Group Tax,Medium,True/False,< 1 year holdings,Not Started
S3-117,Section 3,3.11 Elections,DistributionTaxSystemElection,Distribution tax system election,Boolean,No,GIR/Elections/DistTaxSystem,GIR Configuration,Group Tax,Medium,True/False,Specific jurisdictions,Not Started
S3-118,Section 3,3.11 Elections,IneligiblePaymentElection,Ineligible payment election,Boolean,No,GIR/Elections/IneligiblePayment,GIR Configuration,Group Tax,Medium,True/False,Loss allocation,Not Started
S3-119,Section 3,3.11 Elections,ExcludedEntitiesElection,Excluded entities election,Boolean,No,GIR/Elections/ExcludedEntities,GIR Configuration,Group Tax,High,True/False,Investment/pension,Not Started
S3-120,Section 3,3.11 Elections,ElectionEffectiveDate,Date elections take effect,Date,Conditional,GIR/Elections/EffectiveDate,GIR Configuration,Group Tax,High,Valid date format,From fiscal year,Not Started
S3-121,Section 3,3.11 Elections,ElectionRevocationDate,Date elections revoked,Date,Conditional,GIR/Elections/RevocationDate,GIR Configuration,Group Tax,Medium,Valid date format,If revoked,Not Started
S3-122,Section 3,3.11 Elections,ElectionBindingPeriod,Binding period for elections,Integer,Conditional,GIR/Elections/BindingPeriod,Reference Data,Group Tax,Medium,Years,Usually 5,Not Started
S3-123,Section 3,3.11 Elections,ElectionDocumentation,Documentation of elections,String,Conditional,GIR/Elections/Documentation,Document Management,Group Tax,Medium,File reference,Board resolution,Not Started
S3-124,Section 3,3.11 Elections,TransitionElection,Transitional election applied,Boolean,No,GIR/Elections/Transitional,GIR Configuration,Group Tax,High,True/False,Initial period,Not Started
S3-125,Section 3,3.11 Elections,SBIETransitionRateElection,SBIE transitional rate election,Boolean,No,GIR/Elections/SBIETransition,GIR Configuration,Group Tax,High,True/False,Higher rates,Not Started
S3-126,Section 3,3.12 Transitional,TransitionYearIndicator,Is this a transition year,Boolean,Yes,GIR/Transitional/IsTransitionYear,GIR Configuration,Group Tax,Critical,True/False,First GloBE year,Not Started
S3-127,Section 3,3.12 Transitional,TransitionYearNumber,Transition year number (1-10),Integer,Conditional,GIR/Transitional/YearNumber,GIR Configuration,Group Tax,High,1-10,For rate phase-in,Not Started
S3-128,Section 3,3.12 Transitional,OpeningDTLTransition,Opening DTL at transition,Decimal,Conditional,GIR/Transitional/OpeningDTL,Tax Provision,Local Tax,High,Any value,Starting position,Not Started
S3-129,Section 3,3.12 Transitional,OpeningDTATransition,Opening DTA at transition,Decimal,Conditional,GIR/Transitional/OpeningDTA,Tax Provision,Local Tax,High,Any value,Starting position,Not Started
S3-130,Section 3,3.12 Transitional,GloBELossOpeningBalance,Opening GloBE loss balance,Decimal,Conditional,GIR/Transitional/OpeningLoss,GIR Calculation,Group Tax,High,>= 0,From prior period,Not Started
S3-131,Section 3,3.12 Transitional,TransitionalRateApplicable,Transitional rates apply,Boolean,Yes,GIR/Transitional/RatesApply,GIR Configuration,Group Tax,High,True/False,SBIE phase-in,Not Started
S3-132,Section 3,3.12 Transitional,SBIEPayrollTransitionRate,SBIE payroll transitional rate,Decimal,Conditional,GIR/Transitional/PayrollRate,Reference Data,Group Tax,High,Percentage,Phase-in rate,Not Started
S3-133,Section 3,3.12 Transitional,SBIETangibleTransitionRate,SBIE tangible transitional rate,Decimal,Conditional,GIR/Transitional/TangibleRate,Reference Data,Group Tax,High,Percentage,Phase-in rate,Not Started
S3-134,Section 3,3.12 Transitional,TCbCRSafeHarbourAvailable,TCbCR Safe Harbour available,Boolean,Yes,GIR/Transitional/TCbCRAvailable,Reference Data,Group Tax,High,True/False,Through 2026,Not Started
S3-135,Section 3,3.12 Transitional,UTPRSafeHarbourAvailable,UTPR Safe Harbour available,Boolean,Yes,GIR/Transitional/UTPRSHAvailable,Reference Data,Group Tax,High,True/False,Initial periods,Not Started
S3-136,Section 3,3.13 Misc Adj,RefundableTaxCredits,Refundable tax credits received,Decimal,Yes,GIR/MiscAdj/RefundableCredits,Tax Provision,Local Tax,High,>= 0,Government grants,Not Started
S3-137,Section 3,3.13 Misc Adj,NonRefundableTaxCredits,Non-refundable tax credits,Decimal,Yes,GIR/MiscAdj/NonRefundableCredits,Tax Provision,Local Tax,High,>= 0,Reduce tax only,Not Started
S3-138,Section 3,3.13 Misc Adj,QRTCsIdentified,Qualified refundable tax credits,Decimal,Yes,GIR/MiscAdj/QRTCs,GIR Calculation,Group Tax,High,>= 0,Per Article 3.2.4,Not Started
S3-139,Section 3,3.13 Misc Adj,MarketableTransferableCredits,Marketable transferable credits,Decimal,Yes,GIR/MiscAdj/MTCredits,GIR Calculation,Group Tax,High,>= 0,QRTC treatment,Not Started
S3-140,Section 3,3.13 Misc Adj,FlowThroughEntityAdj,Flow-through entity adjustments,Decimal,Yes,GIR/MiscAdj/FlowThrough,GIR Calculation,Group Tax,High,Any value,Partnership/JV,Not Started
S3-141,Section 3,3.13 Misc Adj,HybridEntityAdj,Hybrid entity adjustments,Decimal,Yes,GIR/MiscAdj/Hybrid,GIR Calculation,Group Tax,High,Any value,Mismatch,Not Started
S3-142,Section 3,3.13 Misc Adj,StatelessIncomeAdj,Stateless income adjustments,Decimal,Yes,GIR/MiscAdj/Stateless,GIR Calculation,Group Tax,Medium,Any value,Allocation,Not Started
S3-143,Section 3,3.13 Misc Adj,PermanentEstablishmentAdj,PE income/tax adjustments,Decimal,Yes,GIR/MiscAdj/PE,GIR Calculation,Group Tax,High,Any value,Branch attribution,Not Started
S3-144,Section 3,3.13 Misc Adj,JointVentureAdj,Joint venture specific adjustments,Decimal,Yes,GIR/MiscAdj/JV,GIR Calculation,Group Tax,High,Any value,MNES with JVs,Not Started
S3-145,Section 3,3.13 Misc Adj,InvestmentEntityAdj,Investment entity adjustments,Decimal,Yes,GIR/MiscAdj/InvestmentEntity,GIR Calculation,Group Tax,Medium,Any value,Special rules,Not Started
S3-146,Section 3,3.13 Misc Adj,InsuranceEntityAdj,Insurance entity adjustments,Decimal,Yes,GIR/MiscAdj/Insurance,GIR Calculation,Group Tax,Medium,Any value,Technical provisions,Not Started
S3-147,Section 3,3.13 Misc Adj,ReorganizationAdj,Corporate reorganization adjustments,Decimal,Yes,GIR/MiscAdj/Reorg,GIR Calculation,Group Tax,High,Any value,M&A impacts,Not Started
S3-148,Section 3,3.13 Misc Adj,DisposalAdjustments,Disposal event adjustments,Decimal,Yes,GIR/MiscAdj/Disposal,GIR Calculation,Group Tax,High,Any value,Exit events,Not Started
S3-149,Section 3,3.13 Misc Adj,CurrencyTranslationAdj,Currency translation adjustments,Decimal,Yes,GIR/MiscAdj/Currency,GIR Calculation,Group Tax,Medium,Any value,FX impacts,Not Started
S3-150,Section 3,3.13 Misc Adj,OtherAdjustments,Other miscellaneous adjustments,Decimal,Yes,GIR/MiscAdj/Other,GIR Calculation,Group Tax,Medium,Any value,Catch-all,Not Started
S3-151,Section 3,3.14 Intl Shipping,InternationalShippingIncome,Gross international shipping income,Decimal,Yes,GIR/IntlShipping/GrossIncome,Financial System,Local Finance,High,>= 0,Article 3.3,Not Started
S3-152,Section 3,3.14 Intl Shipping,ShippingIncomeExcluded,Shipping income excluded from GloBE,Decimal,Yes,GIR/IntlShipping/Excluded,GIR Calculation,Group Tax,High,>= 0,Qualifying amount,Not Started
S3-153,Section 3,3.14 Intl Shipping,QualifyingShipsOperation,Qualifies as ship operation,Boolean,Yes,GIR/IntlShipping/Qualifies,GIR Analysis,Group Tax,High,True/False,Strategic management,Not Started
S3-154,Section 3,3.14 Intl Shipping,ShippingVesselsCount,Number of qualifying vessels,Integer,Conditional,GIR/IntlShipping/VesselCount,Financial System,Local Finance,Medium,Positive integer,For verification,Not Started
S3-155,Section 3,3.14 Intl Shipping,ShippingGrossTonnage,Gross tonnage of fleet,Decimal,Conditional,GIR/IntlShipping/GrossTonnage,Financial System,Local Finance,Medium,>= 0,Measurement,Not Started
S3-156,Section 3,3.14 Intl Shipping,AncillaryShippingIncome,Ancillary shipping income,Decimal,Yes,GIR/IntlShipping/Ancillary,Financial System,Local Finance,Medium,>= 0,Related activities,Not Started
S3-157,Section 3,3.14 Intl Shipping,ShippingTaxRegime,Special shipping tax regime,Boolean,Yes,GIR/IntlShipping/SpecialRegime,Reference Data,Group Tax,Medium,True/False,Tonnage tax etc,Not Started
S3-158,Section 3,3.14 Intl Shipping,ShippingTaxAmount,Tax under shipping regime,Decimal,Conditional,GIR/IntlShipping/TaxAmount,Tax Provision,Local Tax,Medium,>= 0,If special regime,Not Started
S3-159,Section 3,3.14 Intl Shipping,ShippingExclusionCapped,Shipping exclusion capped,Boolean,Yes,GIR/IntlShipping/Capped,GIR Calculation,Group Tax,Medium,True/False,Cap rules,Not Started
S3-160,Section 3,3.14 Intl Shipping,ShippingCappedAmount,Amount if capped,Decimal,Conditional,GIR/IntlShipping/CappedAmt,GIR Calculation,Group Tax,Medium,>= 0,If capped,Not Started
S3-161,Section 3,3.15 Multi-Parent,MultiParentedStructure,Is multi-parented MNE structure,Boolean,Yes,GIR/MultiParent/Applies,GIR Analysis,Group Tax,High,True/False,Stapled structures,Not Started
S3-162,Section 3,3.15 Multi-Parent,StapledStructure,Stapled structure applies,Boolean,Conditional,GIR/MultiParent/Stapled,GIR Analysis,Group Tax,High,True/False,If multi-parented,Not Started
S3-163,Section 3,3.15 Multi-Parent,DualListedArrangement,Dual-listed arrangement,Boolean,Conditional,GIR/MultiParent/DualListed,GIR Analysis,Group Tax,High,True/False,If multi-parented,Not Started
